customerID,test group,made_purchase,days_with_most_ad,peak ad hours,ad_count
1,ad,FALSE,24,20,5
2,psa,FALSE,21,16,9
3,psa,FALSE,1,18,8
4,ad,FALSE,20,23,7
5,ad,FALSE,3,13,5
6,ad,FALSE,13,22,7
7,ad,FALSE,7,19,6
8,psa,FALSE,6,22,10
9,psa,FALSE,6,15,7
10,psa,FALSE,2,19,5
11,ad,FALSE,16,21,10
12,psa,FALSE,6,16,8
13,psa,FALSE,8,15,6
14,ad,FALSE,21,18,7
15,ad,FALSE,25,11,1
16,ad,FALSE,11,10,1
17,ad,FALSE,18,17,8
18,ad,FALSE,23,19,6
19,ad,FALSE,6,16,8
20,ad,FALSE,14,22,8
21,psa,FALSE,15,1,1
22,ad,FALSE,11,18,9
23,ad,FALSE,27,3,3
24,ad,FALSE,15,16,6
25,ad,FALSE,13,16,9
26,psa,FALSE,6,15,8
27,ad,FALSE,4,3,2
28,ad,TRUE,14,20,8
29,ad,FALSE,13,22,10
30,ad,FALSE,10,19,6
31,psa,FALSE,25,17,6
32,ad,FALSE,22,8,3
33,ad,FALSE,29,11,1
34,psa,FALSE,12,15,7
35,psa,FALSE,24,21,7
36,psa,FALSE,8,21,9
37,ad,FALSE,20,18,7
38,ad,FALSE,5,19,6
39,psa,FALSE,2,17,8
40,ad,TRUE,20,2,5
41,ad,FALSE,12,17,6
42,ad,FALSE,6,22,10
43,ad,FALSE,30,20,8
44,psa,FALSE,15,23,8
45,ad,TRUE,18,18,9
46,psa,FALSE,18,0,3
47,ad,FALSE,10,22,9
48,ad,FALSE,7,15,9
49,ad,FALSE,10,19,10
50,ad,FALSE,5,10,5
51,psa,FALSE,16,5,4
52,psa,FALSE,29,0,3
53,psa,FALSE,19,23,10
54,psa,FALSE,3,15,10
55,ad,FALSE,7,23,5
56,psa,FALSE,19,18,8
57,ad,FALSE,12,18,9
58,ad,FALSE,10,19,10
59,ad,FALSE,5,20,8
60,ad,FALSE,29,23,6
61,ad,FALSE,2,18,7
62,ad,FALSE,3,20,5
63,psa,FALSE,14,20,7
64,ad,FALSE,15,23,6
65,ad,FALSE,20,17,5
66,ad,FALSE,13,16,8
67,ad,FALSE,17,9,1
68,psa,FALSE,20,22,9
69,ad,FALSE,4,2,2
70,psa,FALSE,19,22,10
71,psa,FALSE,26,15,9
72,ad,FALSE,15,15,6
73,ad,FALSE,15,20,8
74,psa,FALSE,9,19,8
75,psa,FALSE,3,17,9
76,psa,FALSE,2,18,6
77,psa,FALSE,7,21,6
78,ad,FALSE,9,18,8
79,ad,FALSE,22,18,7
80,ad,FALSE,30,23,9
81,psa,FALSE,5,23,9
82,psa,FALSE,17,22,6
83,ad,FALSE,3,1,1
84,ad,FALSE,9,22,10
85,ad,FALSE,8,22,8
86,ad,FALSE,9,3,4
